count	name	type	info
18123	Googlebot	NHT-search	
1032	AdsBot-Google-Mobile	NHT-other	
670	Mediapartners-Google	NHT-other	
234	Sogou	NHT-search	
208	bingbot	NHT-search	
171	Applebot	NHT-other	
65	facebookexternalhit	NHT-other	
48	WhatsApp	NHT-other	
34	UptimeRobot	NHT-other	
33	pinterest	NHT-other	
32	YandexBot	NHT-search	
17	SemrushBot	NHT-other	
11	Googlebot-Image	NHT-search	
10	Gluten Free Crawler	NHT-other	Joke: searches for websites containing names of food products containing gluten
4	coccoc	NHT-other	Vietnamese browser
3	Twitterbot	NHT-other	
3	Facebot	NHT-other	
3	Discordbot	NHT-other	
3	Cliqzbot	NHT-other	
2	Google Web Preview	NHT-other	
2	AppEngine-Google	NHT-other	
